,c,,,,,,,,,
d,1,d,,,,,,,,
e,2,1,e,,,,,,,
f,2.5,1.5,0.5,f,,,,,,
g,3.5,2.5,1.5,1,g,,,,,
a,4.5,3.5,2.5,2,1,a,,,,
b,5.5,4.5,3.5,3,2,1,b,,,
c,6,5,4,3.5,2.5,1.5,0.5,c,,
d,1,6,5,4.5,3.5,2.5,1.5,1,d,
e,2,1,6,5.5,4.5,3.5,2.5,2,1,e
f,2.5,1.5,0.5,6,5,4,3,2.5,1.5,0.5
