number of practice,ground_truth,kid_input,result,number ask for help
1.0,['1'],0,1,100
2.0,['1'],0,1,100
3.0,['6'],a,1,100
4.0,['3'],0,1,100
5.0,['2'],9,1,100
6.0,['6'],9,1,100
7.0,['3'],4,1,0
8.0,['4'],2,1,100
9.0,['1'],8,1,1
10.0,['9'],0,1,1
11.0,['7'],0,1,1
12.0,['6'],9,1,1
13.0,['b'],0,1,100
14.0,['5'],7,1,100
15.0,['3'],0,1,100
16.0,['1'],0,1,1
17.0,['2'],2,0,100
18.0,['2'],0,1,100
19.0,['7'],8,1,1
20.0,['2'],9,1,100
